ID,text,stance,aspect_span,opinion_span,aspect_catetegory
1371087733779742728,anonymised text,negative,73:139,73:254,20
1378447935986409472,anonymised text,positive,6:63,6:63,9
1373350586834432001,anonymised text,neutral,0:229,0:229,3
1373113564433633285,anonymised text,positive,36:63,0:87,0
1378009636415139848,anonymised text,positive,141:148,0:243,16
1375625077002276871,anonymised text,positive,60:182,60:184,11
1372277695522955265,anonymised text,negative,94:112,0:182,22
1367852751867248641,anonymised text,positive,65:91,0:109,0
1368298539290361866,anonymised text,negative,0:154,0:154,4
1367790156531589120,anonymised text,positive,86:114,0:221,0
1368953737146929155,anonymised text,negative,201:288,183:290,23
1367456007111143430,anonymised text,positive,37:113,37:113,4
1368175741175750663,anonymised text,positive,32:111,32:111,3
1372175094626275331,anonymised text,positive,8:43,0:72,3
1372385660867252224,anonymised text,positive,0:48,0:84,17
1372292050868174851,anonymised text,positive,50:68,13:93,0
1370572329928028163,anonymised text,positive,34:74,18:135,3
1372617734928875520,anonymised text,neutral,25:50,0:237,4
1367844644046921732,anonymised text,positive,81:137,0:294,1
1367466376458358784,anonymised text,positive,81:100,28:130,0
1377981908768858112,anonymised text,positive,6:58,6:229,9
1370577914501029890,anonymised text,positive,81:172,42:216,3
1378029322368217088,anonymised text,positive,151:168,21:186,16
1370183202145509379,anonymised text,positive,112:122,112:124,16
1373641400252702724,anonymised text,negative,170:218,166:235,20
1373443023233683457,anonymised text,neutral,27:67,0:117,6
1372758641984479251,anonymised text,positive,33:72,0:72,3
1368376805124571136,anonymised text,negative,0:95,0:95,4
1371889013020319745,anonymised text,positive,0:23,0:23,17
1373294128931483650,anonymised text,positive,52:64,15:245,19
1373695981980684297,anonymised text,negative,83:173,0:175,3
1372781595522834433,anonymised text,negative,0:169,0:171,3
1372900215620001795,anonymised text,positive,46:73,11:269,1
1367810480396398594,anonymised text,positive,16:35,0:46,0
1376887026956566531,anonymised text,negative,32:158,12:249,8
1378225486086746113,anonymised text,negative,122:137,107:266,20
1368192740106833924,anonymised text,positive,0:90,0:92,1
1372516428163788802,anonymised text,negative,0:185,0:267,3
1371938660069834752,anonymised text,negative,137:245,137:247,3
1378311554471403520,anonymised text,positive,0:103,0:103,17
1367863057830010886,anonymised text,positive,0:82,0:82,0
1368404195661910020,anonymised text,positive,31:62,22:151,4
1370361522145361922,anonymised text,positive,0:44,0:179,21
1373195617456037890,anonymised text,positive,0:42,0:179,1
1372309970260271118,anonymised text,positive,42:52,0:90,16
1373283638977122308,anonymised text,negative,32:85,0:85,3
1377338525788512256,anonymised text,positive,20:92,0:227,12
1377172983706316800,anonymised text,positive,97:116,64:221,16
1376507246247567361,anonymised text,negative,0:74,0:104,11
1376602311406055433,anonymised text,positive,23:30,14:61,16
1373323662250639361,anonymised text,negative,137:255,137:255,3
1373690554203131904,anonymised text,positive,201:268,171:268,3
1372787011635929100,anonymised text,positive,203:230,0:250,16
1369545056630276101,anonymised text,positive,6:85,6:85,21
1368213495284572162,anonymised text,positive,128:250,128:252,4
1377797945127493632,anonymised text,positive,30:45,0:155,8
1366607600725319681,anonymised text,positive,0:133,0:135,12
1368396339860545548,anonymised text,negative,86:132,0:251,19
1372794395368427523,anonymised text,negative,155:165,6:229,16
1372086298522091522,anonymised text,neutral,15:84,0:84,0
1368267228232085504,anonymised text,positive,5:27,0:154,1
1368331831859437572,anonymised text,positive,9:229,9:229,12
1373622593983442948,anonymised text,negative,48:124,9:139,3
1367890598389223429,anonymised text,positive,169:252,145:254,4
1366512963226660866,anonymised text,negative,0:81,0:81,0
1376821393468317696,anonymised text,positive,6:61,6:61,9
1367992154560204800,anonymised text,positive,12:105,0:105,8
1366034256598818817,anonymised text,positive,0:91,0:93,12
1373572896136646656,anonymised text,neutral,17:125,0:180,3
1371891595184771072,anonymised text,negative,121:211,27:255,23
1372673297876324353,anonymised text,neutral,32:106,15:106,0
1368841718653681664,anonymised text,positive,6:92,6:256,16
1367816429668601857,anonymised text,positive,9:47,0:116,3
1372996822029922312,anonymised text,positive,23:50,0:50,0
1366428621192253441,anonymised text,negative,105:177,105:177,7
1377492975765315585,anonymised text,positive,45:128,0:130,8
1376600385041825792,anonymised text,positive,10:17,0:201,16
1367562603413782529,anonymised text,positive,27:60,0:60,1
1372095451307114501,anonymised text,negative,234:288,33:290,20
1372647570133151746,anonymised text,positive,93:105,19:105,6
1376751981272780804,anonymised text,positive,53:205,53:277,8
1371251626049175558,anonymised text,negative,23:29,6:29,16
1367982982632407043,anonymised text,positive,74:102,0:104,0
1376586579121160193,anonymised text,positive,0:86,0:86,9
1373276419527208966,anonymised text,positive,117:158,35:160,3
1373025904281194500,anonymised text,negative,53:120,0:226,3
1377241988110692354,anonymised text,positive,0:74,0:76,12
1367885590830620672,anonymised text,positive,93:196,93:196,4
1378242867089539075,anonymised text,negative,0:257,0:257,3
1367867480807518213,anonymised text,positive,12:133,12:146,1
1367872742570172423,anonymised text,positive,6:39,6:41,16
1377315921006485504,anonymised text,negative,59:158,12:158,11
1373508201304354818,anonymised text,positive,11:117,11:119,3
1377629666232655880,anonymised text,positive,0:69,0:69,12
1367633699655856129,anonymised text,negative,58:83,15:266,6
1378238700254081025,anonymised text,positive,11:60,0:273,9
1370421089310965761,anonymised text,positive,6:65,6:70,21
1373396702116376579,anonymised text,negative,134:228,107:230,6
1368183921087819776,anonymised text,positive,14:93,0:95,4
1367496096063315969,anonymised text,positive,0:199,0:199,3
1367587233906057216,anonymised text,positive,47:81,0:112,0
1373307566776745986,anonymised text,positive,0:98,0:98,1
1367629113721241602,anonymised text,negative,202:275,0:277,3
1368332926132183041,anonymised text,negative,0:57,0:72,3
1377764302279614465,anonymised text,neutral,44:74,6:220,16
1371783243473641475,anonymised text,positive,116:175,0:175,16
1368188769606770696,anonymised text,positive,66:167,66:167,3
1373355578542669842,anonymised text,neutral,91:139,14:229,3
1370901887080296448,anonymised text,positive,13:72,6:72,21
1368339287519944706,anonymised text,positive,46:113,46:113,4
1367061050579804162,anonymised text,negative,113:259,113:259,3
1378000806432096256,anonymised text,positive,0:51,0:53,9
1373295700889501697,anonymised text,neutral,99:118,6:120,0
1372604006770610179,anonymised text,positive,146:171,0:171,0
1371012175989444608,anonymised text,negative,0:117,0:117,20
1372748127137099777,anonymised text,negative,29:85,22:251,3
1377253038835036162,anonymised text,negative,9:63,9:63,12
1367958170820349954,anonymised text,positive,0:111,0:111,1
1377632726715662345,anonymised text,negative,0:210,0:210,11
1372151778544861184,anonymised text,neutral,43:71,18:137,16
1368730097667084289,anonymised text,positive,40:50,0:226,16
1367580613805404160,anonymised text,positive,0:103,0:105,4
1368362517001498625,anonymised text,negative,0:164,0:216,3
1371540948312805386,anonymised text,positive,31:87,0:282,3
1368124362419621889,anonymised text,negative,40:268,6:268,3
1372862091837779971,anonymised text,positive,0:31,0:72,3
1378416288092065796,anonymised text,positive,54:101,0:101,12
1373682589672878085,anonymised text,negative,32:95,0:186,3
1377349213575475201,anonymised text,positive,81:135,81:137,9
1370304848558747654,anonymised text,positive,0:107,0:215,3
1367798447894593537,anonymised text,positive,0:255,0:255,6
1371543562140196864,anonymised text,positive,0:14,0:42,1
1368941555814391811,anonymised text,positive,80:91,29:99,16
1371545698030776330,anonymised text,positive,219:280,12:282,21
1368149462477123585,anonymised text,positive,5:19,0:160,1
1371263362416345088,anonymised text,positive,0:46,0:239,20
1375527077592567813,anonymised text,positive,0:145,0:204,19
1372595518275194885,anonymised text,positive,128:172,95:174,3
1372679893792796676,anonymised text,negative,96:151,0:180,3
1367857139616735233,anonymised text,positive,89:181,89:204,8
1373350114899730433,anonymised text,positive,0:44,0:87,3
1368229853833687051,anonymised text,positive,123:220,123:220,12
1376974378768994307,anonymised text,positive,79:177,79:179,11
1370420259782586378,anonymised text,positive,24:68,24:68,17
1367987246796734464,anonymised text,positive,179:187,0:202,8
1367799265716805634,anonymised text,positive,0:41,0:41,1
1369323564978016267,anonymised text,negative,83:229,66:229,11
1372961271327420430,anonymised text,positive,37:73,0:68,1
1373597528613130240,anonymised text,positive,14:25,0:139,19
1376156471080189962,anonymised text,positive,0:21,0:65,8
1375805373144256513,anonymised text,positive,29:74,0:76,9
1372453494662307840,anonymised text,neutral,0:74,0:76,0
1372631446909779980,anonymised text,positive,189:216,154:218,3
1369609662690115585,anonymised text,negative,60:66,0:74,16
1368206869601390595,anonymised text,positive,101:115,0:251,8
1372851452629065729,anonymised text,negative,0:121,0:121,3
1377247322241789955,anonymised text,positive,0:51,0:51,12
1365845823364370436,anonymised text,negative,83:129,32:196,4
1371849666640351234,anonymised text,positive,8:95,8:125,0
1372519220379070466,anonymised text,positive,21:29,4:167,16
1367841892206063619,anonymised text,positive,0:41,0:41,1
1368064687045107712,anonymised text,positive,36:87,13:89,4
1372523391207546887,anonymised text,positive,14:59,6:199,16
1368971754299781122,anonymised text,negative,72:127,32:232,19
1371704990901878785,anonymised text,positive,0:153,0:153,3
1368242943669243907,anonymised text,negative,0:171,0:173,3
1372613773928841222,anonymised text,neutral,0:116,0:229,3
1373482760988397571,anonymised text,negative,39:86,39:86,3
1367953636555390984,anonymised text,positive,38:174,4:176,0
1377887714876489752,anonymised text,positive,61:71,0:202,9
1368319541592399877,anonymised text,negative,10:60,0:60,3
1375778952078315520,anonymised text,positive,6:48,6:98,20
1373566403773661184,anonymised text,negative,52:95,0:95,3
1368081601117192192,anonymised text,positive,0:83,0:214,0
1368374648505700361,anonymised text,positive,14:127,0:240,4
1372774462148341770,anonymised text,positive,0:51,0:51,16
1368108672530796544,anonymised text,positive,0:58,0:60,12
1373648463120982019,anonymised text,positive,30:49,0:70,0
1372810640641855489,anonymised text,positive,20:74,20:74,3
1367696707966750720,anonymised text,positive,36:52,83:238,16
1372940932673196032,anonymised text,positive,84:113,0:130,0
1368195299940917250,anonymised text,positive,23:118,23:120,20
1369373399777243146,anonymised text,negative,85:243,85:243,23
1373619085104324608,anonymised text,negative,138:173,6:239,11
1378165231277518849,anonymised text,positive,60:67,0:67,8
1368158859982954498,anonymised text,positive,73:266,6:266,3
1373045383593660421,anonymised text,positive,0:189,0:189,0
1376126603164446721,anonymised text,neutral,36:45,0:225,20
1366412466343845890,anonymised text,negative,0:195,0:195,6
1373561280787853313,anonymised text,negative,0:47,0:47,7
1368628457987596295,anonymised text,negative,42:56,0:252,20
1376338320024772611,anonymised text,neutral,55:104,0:106,8
1371887572104966146,anonymised text,positive,29:282,29:282,21
1375947242960474116,anonymised text,positive,3:31,3:41,8
1376665400847568901,anonymised text,positive,13:107,13:107,11
1368226466589212672,anonymised text,positive,83:185,83:185,4
1376951899346309120,anonymised text,positive,5:28,0:30,9
1370432191688175622,anonymised text,negative,25:81,0:219,22
1377588145697472512,anonymised text,positive,23:52,0:98,12
1368217216903176196,anonymised text,positive,52:116,0:118,1
1366687275401310210,anonymised text,positive,61:135,39:137,4
1367512588565831683,anonymised text,positive,5:172,5:172,1
1368296230229577733,anonymised text,negative,0:196,0:196,3
1378331424537915397,anonymised text,positive,67:85,0:306,16
1372570734665605123,anonymised text,positive,5:58,5:60,3
1375780439558909954,anonymised text,positive,6:64,6:224,19
1373127673220886530,anonymised text,positive,30:57,0:57,0
1373435869768654848,anonymised text,positive,0:103,0:131,3
1369037638146035713,anonymised text,positive,6:62,6:259,16
1368294789918162950,anonymised text,positive,30:146,30:241,12
1368185609928515594,anonymised text,positive,5:38,0:169,1
1373382114884878338,anonymised text,positive,100:119,0:179,0
1369320518994759686,anonymised text,negative,15:89,0:247,22
1377032949275705345,anonymised text,positive,11:27,0:278,16
1367513895204749313,anonymised text,negative,72:199,0:233,3
1367565570552520711,anonymised text,positive,19:169,19:169,1
1370423003314585609,anonymised text,positive,51:61,0:97,16
1368205028733956097,anonymised text,negative,81:120,63:282,3
1371962242082738177,anonymised text,negative,11:120,11:122,4
1367526961942323210,anonymised text,positive,61:82,0:245,4
1372997859344326657,anonymised text,positive,15:66,0:82,1
1365796432683311106,anonymised text,negative,12:256,12:256,6
1371628021417975809,anonymised text,positive,0:150,0:150,16
1372924204283219975,anonymised text,positive,8:74,8:76,1
1367887395178299395,anonymised text,positive,0:31,0:229,17
1376696760635166720,anonymised text,positive,15:105,0:250,12
1375624893073592321,anonymised text,positive,38:127,6:263,12
1368261244038377484,anonymised text,positive,0:44,0:95,1
1378039527047069697,anonymised text,positive,5:142,0:142,12
1369033674155421698,anonymised text,positive,5:86,0:199,16
1375759417031987206,anonymised text,positive,36:44,27:80,16
1373659475484233733,anonymised text,positive,37:51,0:51,8
1367962487526584321,anonymised text,positive,6:247,6:247,4
1367919275894333445,anonymised text,positive,0:27,0:139,8
1372585575568531469,anonymised text,positive,20:89,0:157,3
1373543048223858693,anonymised text,negative,50:151,17:171,3
1368729717830991872,anonymised text,neutral,85:128,0:270,16
1372853127561494530,anonymised text,negative,0:67,0:67,3
1367952235532083202,anonymised text,negative,0:275,0:275,0
1368034987304513540,anonymised text,positive,0:102,0:102,16
1373433237620596737,anonymised text,negative,26:225,26:225,3
1372279452953104389,anonymised text,negative,72:79,19:251,16
1373120590912045057,anonymised text,positive,17:36,0:60,0
1368247040195637250,anonymised text,positive,166:185,0:201,0
1371893501626097677,anonymised text,positive,29:44,29:44,17
1376581769726717956,anonymised text,neutral,17:35,0:68,16
1376559278157258757,anonymised text,positive,39:54,0:84,9
1367481033118134278,anonymised text,positive,0:49,0:49,0
1368164695732068352,anonymised text,negative,81:198,54:198,19
1368231257927192584,anonymised text,negative,0:173,0:173,4
1377669327181148163,anonymised text,positive,0:145,0:145,12
1367480136338190345,anonymised text,positive,10:91,0:91,16
1368100599376584706,anonymised text,positive,0:111,0:111,1
1367764099053064193,anonymised text,positive,17:32,17:47,0
1375931926230429698,anonymised text,positive,15:39,6:39,9
1371978105280204802,anonymised text,positive,151:253,151:253,16
1373731699977297920,anonymised text,negative,13:144,13:144,3
1376699044865605633,anonymised text,positive,5:33,0:33,9
1373638848476033026,anonymised text,positive,71:111,6:173,0
1367453763250888705,anonymised text,negative,75:140,75:140,4
1371362400323133446,anonymised text,negative,90:166,6:274,19
1373191290297450503,anonymised text,neutral,104:227,0:229,3
1373726892059152390,anonymised text,negative,0:71,0:73,3
1377998855199985664,anonymised text,positive,146:160,24:300,8
1372884643087847434,anonymised text,negative,0:104,0:104,3
1372933582184927235,anonymised text,positive,90:109,0:133,0
1367803940046180353,anonymised text,positive,45:107,45:107,16
1372917563970236416,anonymised text,positive,30:49,10:57,0
1368248052746760196,anonymised text,positive,136:155,0:227,0
1373093676176470017,anonymised text,negative,35:82,0:84,3
1371975427196035075,anonymised text,negative,55:116,41:162,20
1372949628178427907,anonymised text,negative,0:202,0:202,3
1368188149399252994,anonymised text,negative,50:87,50:276,3
1372757675725914127,anonymised text,negative,102:167,102:167,22
1372156147734560771,anonymised text,neutral,15:71,15:205,0
1372689286198259714,anonymised text,positive,49:124,49:124,18
1371785317301293062,anonymised text,positive,0:154,0:154,3
1369608538461507586,anonymised text,negative,321:392,13:402,22
1368392847737593865,anonymised text,positive,17:40,0:53,0
1369618167933394946,anonymised text,positive,13:72,0:192,0
1373397177595273217,anonymised text,negative,0:92,0:92,3
1367922822488719362,anonymised text,negative,122:239,12:239,19
1372828573892018177,anonymised text,neutral,80:139,32:219,3
1367713097155219457,anonymised text,negative,33:117,0:117,0
1373314193546416129,anonymised text,positive,61:87,0:89,0
1367864162303479809,anonymised text,positive,16:154,16:154,2
1373392734975852548,anonymised text,positive,68:107,0:179,3
1372148534506573826,anonymised text,negative,113:145,12:147,23
1367809534941683712,anonymised text,negative,20:254,0:254,3
1368359464806404102,anonymised text,positive,118:137,27:272,0
1372583748869390338,anonymised text,neutral,24:130,24:130,3
1367947786315046913,anonymised text,positive,0:113,0:115,3
1368253663500673029,anonymised text,negative,185:206,125:222,16
1373446797390012418,anonymised text,positive,116:122,67:160,8
1372952744722632713,anonymised text,positive,60:204,27:204,3
1372280625500143620,anonymised text,negative,0:144,0:144,20
1372990075588505603,anonymised text,negative,0:71,0:73,3
1368203976718565382,anonymised text,neutral,6:116,6:118,8
1368160808853667842,anonymised text,positive,16:28,0:28,0
1368286159978311682,anonymised text,positive,0:78,0:80,4
1373560011217981447,anonymised text,positive,41:157,41:157,3
1370990586841473025,anonymised text,negative,114:181,0:181,19
1369938561429016577,anonymised text,negative,27:61,0:224,16
1367918179075452929,anonymised text,negative,0:132,0:132,19
1368285832587673604,anonymised text,positive,0:176,0:176,1
1378286866387058688,anonymised text,neutral,54:57,0:89,20
1368623337740660737,anonymised text,negative,0:44,0:113,19
1373388881635241984,anonymised text,positive,0:63,0:156,7
1369363335754432522,anonymised text,positive,0:21,0:38,17
1373218749629730816,anonymised text,positive,84:161,0:163,3
1373683942486839297,anonymised text,negative,14:130,0:130,3
1373248925616979971,anonymised text,positive,84:91,0:209,16
1367953955897012227,anonymised text,positive,8:77,8:77,0
1378059217966301185,anonymised text,positive,14:191,0:216,8
1372621856763736073,anonymised text,negative,25:132,25:134,3
1367900890812809222,anonymised text,positive,12:64,0:66,1
1367101348383256579,anonymised text,negative,118:202,33:202,3
1370958640086089734,anonymised text,positive,57:96,57:96,16
1368246157495988225,anonymised text,positive,3:19,3:258,1
1373266389893533696,anonymised text,positive,101:108,0:146,16
1371025707023892484,anonymised text,negative,63:114,63:116,22
1373250563228467203,anonymised text,neutral,75:140,9:195,3
1368020842584535040,anonymised text,positive,146:234,0:270,0
1377809790143848450,anonymised text,positive,67:99,67:101,9
1377293638519173125,anonymised text,neutral,6:283,6:283,8
1376657777683206146,anonymised text,positive,0:50,0:171,12
1367872160023318531,anonymised text,positive,70:235,70:277,12
1367525533282623491,anonymised text,positive,0:143,0:276,4
1371889543205560325,anonymised text,negative,20:59,20:61,23
1371887216679657486,anonymised text,positive,24:34,24:147,3
1372525840584433667,anonymised text,negative,50:86,6:283,15
1373634698862268417,anonymised text,negative,64:77,36:140,16
1378194055713206280,anonymised text,positive,25:37,0:114,8
1372765923648499714,anonymised text,positive,68:211,68:209,3
1372532343416750086,anonymised text,negative,6:111,6:174,20
1371259249108656131,anonymised text,positive,0:84,0:253,20
1368125185115688960,anonymised text,positive,0:57,0:59,4
1367854411419123726,anonymised text,positive,35:90,12:90,4
1373240289448636421,anonymised text,negative,78:256,38:256,16
1367971915705573376,anonymised text,positive,0:154,0:154,0
1368227663891009536,anonymised text,negative,122:210,0:210,3
1372427504464564224,anonymised text,negative,0:170,0:170,19
1372605428887076873,anonymised text,positive,15:97,15:97,0
1368015574316498944,anonymised text,positive,83:203,83:203,4
1369373699191758852,anonymised text,neutral,31:161,0:249,21
1368348626544517125,anonymised text,negative,37:102,0:102,3
1368634598658355205,anonymised text,negative,0:212,0:245,20
1367795824336515075,anonymised text,positive,46:233,46:233,3
1368114029554765825,anonymised text,positive,76:198,76:198,1
1367652815355613184,anonymised text,positive,19:38,0:59,0
1372307074437242890,anonymised text,negative,70:220,0:220,20
1376119027697922048,anonymised text,positive,0:12,0:57,8
1368200799587885060,anonymised text,negative,0:109,0:161,3
1368286874746421248,anonymised text,negative,4:84,0:86,3
1367880842840735748,anonymised text,positive,21:120,21:122,4
1373544129368485889,anonymised text,positive,0:25,0:166,1
1377997210575593478,anonymised text,neutral,14:63,0:165,21
1376974523854168065,anonymised text,positive,114:145,0:255,8
1372858372534439944,anonymised text,positive,71:136,0:136,3
1377310123052388361,anonymised text,positive,15:64,15:64,9
1368212149223448580,anonymised text,positive,4:24,0:96,0
1373555788598370304,anonymised text,positive,4:55,0:93,3
1376133270274990080,anonymised text,positive,39:50,0:114,8
1377651523992293377,anonymised text,positive,0:245,0:245,12
1366597051333640193,anonymised text,negative,48:73,0:96,0
1372672426568474626,anonymised text,positive,0:255,45:255,20
1367731790211915778,anonymised text,positive,19:47,0:194,0
1372183285871284227,anonymised text,neutral,12:43,0:140,16
1372552317279559689,anonymised text,positive,12:29,0:118,0
1375603850426597379,anonymised text,negative,33:50,0:152,16
1361313672967188489,anonymised text,negative,99:147,6:231,8
1367562424094765065,anonymised text,positive,202:250,202:300,0
1360399245384294400,anonymised text,positive,0:239,0:239,11
1359553443346616323,anonymised text,positive,0:122,0:122,9
1367871974517612548,anonymised text,positive,28:46,6:190,16
1367950742036885506,anonymised text,positive,0:25,0:142,17
1367558409592188935,anonymised text,positive,70:103,0:187,0
1367302343335817217,anonymised text,negative,12:54,12:129,0
1360757286453575680,anonymised text,positive,28:280,28:280,12
1361212433193455618,anonymised text,negative,18:77,18:79,16
1367164287073079300,anonymised text,negative,30:263,30:263,19
1367767220672225283,anonymised text,positive,0:206,0:266,4
1360397900438769672,anonymised text,positive,18:94,18:94,9
1360412453218242564,anonymised text,negative,6:228,6:228,15
